Start date,End date,Min SYM-H,Classification
1998-04-29 05:15:00,1998-05-09 05:15:00,-268,Intense
2000-04-02 00:10:00,2000-04-12 00:10:00,-315,Intense
2000-07-10 21:55:00,2000-07-20 21:55:00,-335,Intense
2000-08-07 10:05:00,2000-08-17 10:05:00,-235,Intense
2001-11-01 04:05:00,2001-11-11 04:05:00,-313,Intense
2001-11-19 12:35:00,2001-11-29 12:35:00,-233,Intense
2005-05-10 08:20:00,2005-05-20 08:20:00,-302,Intense
2015-03-12 22:45:00,2015-03-22 22:45:00,-233,Intense
1982-07-09 01:05:00,1982-07-19 01:05:00,-420,SuperIntense
1989-03-09 00:45:00,1989-03-19 00:45:00,-714,SuperIntense
1991-11-04 01:30:00,1991-11-14 01:30:00,-399,SuperIntense
2001-03-26 08:10:00,2001-04-05 08:10:00,-434,SuperIntense
2003-10-25 22:55:00,2003-11-04 22:55:00,-427,SuperIntense
2003-11-15 18:15:00,2003-11-25 18:15:00,-488,SuperIntense
2004-11-03 05:55:00,2004-11-13 05:55:00,-393,SuperIntense
