Start date,End date,TD,Max ASY-H,classification
2005-05-28,2005-06-04,7 days,177,MODERATE
2005-07-08,2005-07-15,7 days,158,LOW
2005-07-16,2005-07-23,7 days,132,LOW
2005-08-22,2005-09-05,14 days,234,MODERATE
2005-09-09,2005-09-17,8 days,266,MODERATE
2006-03-17,2006-03-24,7 days,132,LOW
2006-04-12,2006-04-19,7 days,162,LOW
2006-07-26,2006-08-02,7 days,130,LOW
2006-11-08,2006-11-15,7 days,135,LOW
2006-11-28,2006-12-05,7 days,150,LOW
2006-12-12,2006-12-20,8 days,267,MODERATE
2008-09-02,2008-09-09,7 days,159,LOW
2009-07-20,2009-07-27,7 days,131,LOW
2010-04-03,2010-04-10,7 days,151,LOW
2010-05-27,2010-06-03,7 days,130,LOW
2011-02-27,2011-03-06,7 days,152,LOW
2011-03-09,2011-03-16,7 days,130,LOW
2011-05-27,2011-06-10,14 days,150,LOW
2011-08-03,2011-08-10,7 days,183,MODERATE
2011-09-24,2011-10-04,10 days,150,LOW
2011-10-22,2011-10-30,8 days,150,LOW
2012-01-20,2012-01-27,7 days,132,LOW
2012-03-05,2012-03-17,12 days,229,MODERATE
2012-04-21,2012-04-29,8 days,151,LOW
2012-06-15,2012-06-22,7 days,184,MODERATE
2012-07-13,2012-07-20,7 days,164,LOW
2012-09-29,2012-10-18,19 days,158,LOW
2013-02-27,2013-03-06,7 days,149,LOW
2013-03-15,2013-03-22,7 days,171,MODERATE
2013-05-30,2013-06-06,7 days,154,LOW
2013-06-27,2013-07-04,7 days,165,LOW
2013-09-30,2013-10-07,7 days,171,MODERATE
2014-02-17,2014-02-24,7 days,152,LOW
2015-01-05,2015-01-12,7 days,212,MODERATE
2015-03-15,2015-03-24,9 days,250,MODERATE
2015-06-20,2015-06-28,8 days,348,INTENSE
2015-08-13,2015-08-21,8 days,204,MODERATE
2015-08-25,2015-09-01,7 days,149,LOW
2015-09-07,2015-09-16,9 days,189,MODERATE
2015-09-18,2015-09-25,7 days,135,LOW
2015-10-05,2015-10-13,8 days,216,MODERATE
2015-12-18,2015-12-25,7 days,145,LOW
2016-01-18,2016-01-25,7 days,140,LOW
2016-05-07,2016-05-14,7 days,133,LOW
2016-08-31,2016-09-07,7 days,133,LOW
2016-09-27,2016-10-04,7 days,154,LOW
2016-10-23,2016-10-30,7 days,161,LOW
2016-11-08,2016-11-15,7 days,148,LOW
2016-11-23,2016-11-30,7 days,166,LOW
2016-12-19,2016-12-26,7 days,171,MODERATE
2017-03-25,2017-04-01,7 days,143,LOW
2017-05-26,2017-06-02,7 days,158,LOW
2017-07-14,2017-07-21,7 days,175,MODERATE
2017-09-05,2017-09-13,8 days,230,MODERATE
2017-09-26,2017-10-03,7 days,163,LOW
2018-04-18,2018-04-25,7 days,136,LOW
2018-08-24,2018-08-31,7 days,197,MODERATE
2018-09-09,2018-09-16,7 days,140,LOW
2018-11-03,2018-11-10,7 days,131,LOW
2019-05-09,2019-05-16,7 days,134,LOW
2019-08-03,2019-08-10,7 days,139,LOW
2019-08-29,2019-09-05,7 days,146,LOW
2019-10-23,2019-10-30,7 days,143,LOW
2020-04-18,2020-04-25,7 days,143,LOW
2021-05-10,2021-05-17,7 days,146,LOW
2021-10-10,2021-10-17,7 days,167,LOW
2021-11-01,2021-11-09,8 days,216,MODERATE
2022-02-01,2022-02-08,7 days,153,LOW
2022-03-11,2022-03-18,7 days,139,LOW
2022-04-08,2022-04-15,7 days,138,LOW
2022-09-02,2022-09-09,7 days,148,LOW
2022-11-05,2022-11-12,7 days,139,LOW
2022-12-05,2022-12-12,7 days,144,LOW
